x,perturbed_x,y,wikidata_property,perturbed_question,perturbed_yes_no_question,original_question,original_yes_no_question
Celia de la Serna,Manuel Blanco Encalada,Che Guevara,child,Which year did Manuel Blanco Encalada give birth to Che Guevara?,Was Manuel Blanco Encalada adopted by Che Guevara?,Which year did Celia de la Serna give birth to Che Guevara?,Was Celia de la Serna adopted by Che Guevara?
Wen Qimei,George Washington,Mao Zedong,child,Which year did George Washington give birth to Mao Zedong?,Was George Washington adopted by Mao Zedong?,Which year did Wen Qimei give birth to Mao Zedong?,Was Wen Qimei adopted by Mao Zedong?
Marge Simpson,Maria Anna Thekla Mozart,Lisa Simpson,child,Which year did Maria Anna Thekla Mozart give birth to Lisa Simpson?,Was Maria Anna Thekla Mozart adopted by Lisa Simpson?,Which year did Marge Simpson give birth to Lisa Simpson?,Was Marge Simpson adopted by Lisa Simpson?
Johann Caspar Goethe,Anne Frank,Johann Wolfgang von Goethe,child,Which year did Anne Frank give birth to Johann Wolfgang von Goethe?,Was Anne Frank adopted by Johann Wolfgang von Goethe?,Which year did Johann Caspar Goethe give birth to Johann Wolfgang von Goethe?,Was Johann Caspar Goethe adopted by Johann Wolfgang von Goethe?
"Ralouka Bibesco-Bassaraba, Princess de Brancovan",Stephen Harper,Anna de Noailles,child,Which year did Stephen Harper give birth to Anna de Noailles?,Was Stephen Harper adopted by Anna de Noailles?,"Which year did Ralouka Bibesco-Bassaraba, Princess de Brancovan give birth to Anna de Noailles?","Was Ralouka Bibesco-Bassaraba, Princess de Brancovan adopted by Anna de Noailles?"
Lyudmila Chernova,Irina Turova,Tatyana Chernova,child,Which year did Irina Turova give birth to Tatyana Chernova?,Was Irina Turova adopted by Tatyana Chernova?,Which year did Lyudmila Chernova give birth to Tatyana Chernova?,Was Lyudmila Chernova adopted by Tatyana Chernova?
Niccol Polo,Arthur Rimbaud,Marco Polo,child,Which year did Arthur Rimbaud give birth to Marco Polo?,Was Arthur Rimbaud adopted by Marco Polo?,Which year did Niccol Polo give birth to Marco Polo?,Was Niccol Polo adopted by Marco Polo?
Billy Garland,George Washington,Tupac Shakur,child,Which year did George Washington give birth to Tupac Shakur?,Was George Washington adopted by Tupac Shakur?,Which year did Billy Garland give birth to Tupac Shakur?,Was Billy Garland adopted by Tupac Shakur?
Pepi I Meryre,Napoleon,Pepi II,child,Which year did Napoleon give birth to Pepi II?,Was Napoleon adopted by Pepi II?,Which year did Pepi I Meryre give birth to Pepi II?,Was Pepi I Meryre adopted by Pepi II?
Wolfgang Amadeus Mozart,Ludwig van Beethoven,String Quartet No. 15,composer,When did Ludwig van Beethoven compose String Quartet No. 15?,Did Ludwig van Beethoven compose String Quartet No. 15?,When did Wolfgang Amadeus Mozart compose String Quartet No. 15?,Did Wolfgang Amadeus Mozart compose String Quartet No. 15?
Wolfgang Amadeus Mozart,Alma Deutscher,Serenades for Winds,composer,When did Alma Deutscher compose Serenades for Winds?,Did Alma Deutscher compose Serenades for Winds?,When did Wolfgang Amadeus Mozart compose Serenades for Winds?,Did Wolfgang Amadeus Mozart compose Serenades for Winds?
Lisa Jakub,David Lynch,Canada,country of citizenship,When did David Lynch become the leader of Canada?,Did David Lynch become the leader of Canada?,When did Lisa Jakub become the leader of Canada?,Did Lisa Jakub become the leader of Canada?
Linkin Park,Red Hot Chili Peppers,The Making of Meteora,director,When did Red Hot Chili Peppers direct the movie The Making of Meteora?,Did Red Hot Chili Peppers win an award for directing The Making of Meteora?,When did Linkin Park direct the movie The Making of Meteora?,Did Linkin Park win an award for directing The Making of Meteora?
Bob Dylan,Michael Jackson,Renaldo and Clara,director,When did Michael Jackson direct the movie Renaldo and Clara?,Did Michael Jackson win an award for directing Renaldo and Clara?,When did Bob Dylan direct the movie Renaldo and Clara?,Did Bob Dylan win an award for directing Renaldo and Clara?
Jenna Jameson,Tera Patrick,I Dream of Jenna,director,When did Tera Patrick direct the movie I Dream of Jenna?,Did Tera Patrick win an award for directing I Dream of Jenna?,When did Jenna Jameson direct the movie I Dream of Jenna?,Did Jenna Jameson win an award for directing I Dream of Jenna?
Neil Young,Bob Dylan,Muddy Track,director,When did Bob Dylan direct the movie Muddy Track?,Did Bob Dylan win an award for directing Muddy Track?,When did Neil Young direct the movie Muddy Track?,Did Neil Young win an award for directing Muddy Track?
Kate Bush,Michael Jackson,Rubberband Girl,director,When did Michael Jackson direct the movie Rubberband Girl?,Did Michael Jackson win an award for directing Rubberband Girl?,When did Kate Bush direct the movie Rubberband Girl?,Did Kate Bush win an award for directing Rubberband Girl?
Charlie Chaplin,Orson Welles,Test,director,When did Orson Welles direct the movie Test?,Did Orson Welles win an award for directing Test?,When did Charlie Chaplin direct the movie Test?,Did Charlie Chaplin win an award for directing Test?
Roald Amundsen,Fridtjof Nansen,Roald Amundsen's South Pole Journey,director,When did Fridtjof Nansen direct the movie Roald Amundsen's South Pole Journey?,Did Fridtjof Nansen win an award for directing Roald Amundsen's South Pole Journey?,When did Roald Amundsen direct the movie Roald Amundsen's South Pole Journey?,Did Roald Amundsen win an award for directing Roald Amundsen's South Pole Journey?
John Lennon,George Harrison,Fly,director,When did George Harrison direct the movie Fly?,Did George Harrison win an award for directing Fly?,When did John Lennon direct the movie Fly?,Did John Lennon win an award for directing Fly?
Bruce Springsteen,Stevie Wonder,Hunter of Invisible Game,director,When did Stevie Wonder direct the movie Hunter of Invisible Game?,Did Stevie Wonder win an award for directing Hunter of Invisible Game?,When did Bruce Springsteen direct the movie Hunter of Invisible Game?,Did Bruce Springsteen win an award for directing Hunter of Invisible Game?
Franoise Sagan,Jean-Paul Sartre,One More Winter,director,When did Jean-Paul Sartre direct the movie One More Winter?,Did Jean-Paul Sartre win an award for directing One More Winter?,When did Franoise Sagan direct the movie One More Winter?,Did Franoise Sagan win an award for directing One More Winter?
Jacques Brel,Charles Aznavour,Jacques Brel Is Alive and Well and Living in Paris,director,When did Charles Aznavour direct the movie Jacques Brel Is Alive and Well and Living in Paris?,Did Charles Aznavour win an award for directing Jacques Brel Is Alive and Well and Living in Paris?,When did Jacques Brel direct the movie Jacques Brel Is Alive and Well and Living in Paris?,Did Jacques Brel win an award for directing Jacques Brel Is Alive and Well and Living in Paris?
Serge Gainsbourg,Bob Dylan,Scarface,director,When did Bob Dylan direct the movie Scarface?,Did Bob Dylan win an award for directing Scarface?,When did Serge Gainsbourg direct the movie Scarface?,Did Serge Gainsbourg win an award for directing Scarface?
Madonna,Michael Jackson,Little Sparrow,director,When did Michael Jackson direct the movie Little Sparrow?,Did Michael Jackson win an award for directing Little Sparrow?,When did Madonna direct the movie Little Sparrow?,Did Madonna win an award for directing Little Sparrow?
Barbara,Patti Smith,Franz,director,When did Patti Smith direct the movie Franz?,Did Patti Smith win an award for directing Franz?,When did Barbara direct the movie Franz?,Did Barbara win an award for directing Franz?
Stanley Kubrick,Steven Spielberg,The Lord of the Rings,director,When did Steven Spielberg direct the movie The Lord of the Rings?,Did Steven Spielberg win an award for directing The Lord of the Rings?,When did Stanley Kubrick direct the movie The Lord of the Rings?,Did Stanley Kubrick win an award for directing The Lord of the Rings?
David Lynch,Tom Hanks,Part 11,director,When did Tom Hanks direct the movie Part 11?,Did Tom Hanks win an award for directing Part 11?,When did David Lynch direct the movie Part 11?,Did David Lynch win an award for directing Part 11?
Troian Bellisario,William Shatner,In the Eye Abides the Heart,director,When did William Shatner direct the movie In the Eye Abides the Heart?,Did William Shatner win an award for directing In the Eye Abides the Heart?,When did Troian Bellisario direct the movie In the Eye Abides the Heart?,Did Troian Bellisario win an award for directing In the Eye Abides the Heart?
Peter Jackson,Steven Spielberg,Now and Then,director,When did Steven Spielberg direct the movie Now and Then?,Did Steven Spielberg win an award for directing Now and Then?,When did Peter Jackson direct the movie Now and Then?,Did Peter Jackson win an award for directing Now and Then?
Vince Gilligan,Greg Garcia,Waterworks,director,When did Greg Garcia direct the movie Waterworks?,Did Greg Garcia win an award for directing Waterworks?,When did Vince Gilligan direct the movie Waterworks?,Did Vince Gilligan win an award for directing Waterworks?
Sean Connery,Tom Hanks,The Bowler and the Bunnet,director,When did Tom Hanks direct the movie The Bowler and the Bunnet?,Did Tom Hanks win an award for directing The Bowler and the Bunnet?,When did Sean Connery direct the movie The Bowler and the Bunnet?,Did Sean Connery win an award for directing The Bowler and the Bunnet?
Barbra Streisand,Steven Spielberg,Barbra: The Concert,director,When did Steven Spielberg direct the movie Barbra: The Concert?,Did Steven Spielberg win an award for directing Barbra: The Concert?,When did Barbra Streisand direct the movie Barbra: The Concert?,Did Barbra Streisand win an award for directing Barbra: The Concert?
Andy Warhol,Pablo Picasso,The Shopper,director,When did Pablo Picasso direct the movie The Shopper?,Did Pablo Picasso win an award for directing The Shopper?,When did Andy Warhol direct the movie The Shopper?,Did Andy Warhol win an award for directing The Shopper?
Gabriel Garca Mrquez,Naguib Mahfouz,La langosta azul,director,When did Naguib Mahfouz direct the movie La langosta azul?,Did Naguib Mahfouz win an award for directing La langosta azul?,When did Gabriel Garca Mrquez direct the movie La langosta azul?,Did Gabriel Garca Mrquez win an award for directing La langosta azul?
Marcel Duchamp,Man Ray,8 8: A Chess Sonata in 8 Movements,director,When did Man Ray direct the movie 8 8: A Chess Sonata in 8 Movements?,Did Man Ray win an award for directing 8 8: A Chess Sonata in 8 Movements?,When did Marcel Duchamp direct the movie 8 8: A Chess Sonata in 8 Movements?,Did Marcel Duchamp win an award for directing 8 8: A Chess Sonata in 8 Movements?
50 Cent,Jay-Z,Before I Self Destruct,director,When did Jay-Z direct the movie Before I Self Destruct?,Did Jay-Z win an award for directing Before I Self Destruct?,When did 50 Cent direct the movie Before I Self Destruct?,Did 50 Cent win an award for directing Before I Self Destruct?
Dr. Dre,Snoop Dogg,Murder Was the Case,director,When did Snoop Dogg direct the movie Murder Was the Case?,Did Snoop Dogg win an award for directing Murder Was the Case?,When did Dr. Dre direct the movie Murder Was the Case?,Did Dr. Dre win an award for directing Murder Was the Case?
Snoop Dogg,Drake,Snoop Dogg's Hustlaz: Diary of a Pimp,director,When did Drake direct the movie Snoop Dogg's Hustlaz: Diary of a Pimp?,Did Drake win an award for directing Snoop Dogg's Hustlaz: Diary of a Pimp?,When did Snoop Dogg direct the movie Snoop Dogg's Hustlaz: Diary of a Pimp?,Did Snoop Dogg win an award for directing Snoop Dogg's Hustlaz: Diary of a Pimp?
Kalidasa,Lord Byron,Adalat,director,When did Lord Byron direct the movie Adalat?,Did Lord Byron win an award for directing Adalat?,When did Kalidasa direct the movie Adalat?,Did Kalidasa win an award for directing Adalat?
Michel Audiard,David Lynch,Vive la France,director,When did David Lynch direct the movie Vive la France?,Did David Lynch win an award for directing Vive la France?,When did Michel Audiard direct the movie Vive la France?,Did Michel Audiard win an award for directing Vive la France?
Rabindranath Tagore,Bob Dylan,Natir Puja,director,When did Bob Dylan direct the movie Natir Puja?,Did Bob Dylan win an award for directing Natir Puja?,When did Rabindranath Tagore direct the movie Natir Puja?,Did Rabindranath Tagore win an award for directing Natir Puja?
Federico Fellini,Vittorio De Sica,Toby Dammit,director,When did Vittorio De Sica direct the movie Toby Dammit?,Did Vittorio De Sica win an award for directing Toby Dammit?,When did Federico Fellini direct the movie Toby Dammit?,Did Federico Fellini win an award for directing Toby Dammit?
Alfred Hitchcock,Steven Spielberg,The Man Who Knew Too Much: The Secret Agent,director,When did Steven Spielberg direct the movie The Man Who Knew Too Much: The Secret Agent?,Did Steven Spielberg win an award for directing The Man Who Knew Too Much: The Secret Agent?,When did Alfred Hitchcock direct the movie The Man Who Knew Too Much: The Secret Agent?,Did Alfred Hitchcock win an award for directing The Man Who Knew Too Much: The Secret Agent?
Jonny Lee Miller,Rowan Atkinson,"Red Light, Green Light",director,"When did Rowan Atkinson direct the movie Red Light, Green Light?","Did Rowan Atkinson win an award for directing Red Light, Green Light?","When did Jonny Lee Miller direct the movie Red Light, Green Light?","Did Jonny Lee Miller win an award for directing Red Light, Green Light?"
Prince,George Harrison,Amadoofus,director,When did George Harrison direct the movie Amadoofus?,Did George Harrison win an award for directing Amadoofus?,When did Prince direct the movie Amadoofus?,Did Prince win an award for directing Amadoofus?
Ingmar Bergman,Woody Allen,Metaphysical Trilogy,director,When did Woody Allen direct the movie Metaphysical Trilogy?,Did Woody Allen win an award for directing Metaphysical Trilogy?,When did Ingmar Bergman direct the movie Metaphysical Trilogy?,Did Ingmar Bergman win an award for directing Metaphysical Trilogy?
Sergei Eisenstein,Vsevolod Pudovkin,Que Viva Mexico,director,When did Vsevolod Pudovkin direct the movie Que Viva Mexico?,Did Vsevolod Pudovkin win an award for directing Que Viva Mexico?,When did Sergei Eisenstein direct the movie Que Viva Mexico?,Did Sergei Eisenstein win an award for directing Que Viva Mexico?
Akira Kurosawa,Michelangelo Antonioni,Horse,director,When did Michelangelo Antonioni direct the movie Horse?,Did Michelangelo Antonioni win an award for directing Horse?,When did Akira Kurosawa direct the movie Horse?,Did Akira Kurosawa win an award for directing Horse?
Rupert Wyatt,Werner Herzog,Desert Warrior,director,When did Werner Herzog direct the movie Desert Warrior?,Did Werner Herzog win an award for directing Desert Warrior?,When did Rupert Wyatt direct the movie Desert Warrior?,Did Rupert Wyatt win an award for directing Desert Warrior?
Stefen Fangmeier,Andrei Tarkovsky,Eragon,director,When did Andrei Tarkovsky direct the movie Eragon?,Did Andrei Tarkovsky win an award for directing Eragon?,When did Stefen Fangmeier direct the movie Eragon?,Did Stefen Fangmeier win an award for directing Eragon?
Nicholas Meyer,David Lynch,Star Trek: Khan: Ceti Alpha V,director,When did David Lynch direct the movie Star Trek: Khan: Ceti Alpha V?,Did David Lynch win an award for directing Star Trek: Khan: Ceti Alpha V?,When did Nicholas Meyer direct the movie Star Trek: Khan: Ceti Alpha V?,Did Nicholas Meyer win an award for directing Star Trek: Khan: Ceti Alpha V?
Robert Legato,Stanley Kubrick,Eloise,director,When did Stanley Kubrick direct the movie Eloise?,Did Stanley Kubrick win an award for directing Eloise?,When did Robert Legato direct the movie Eloise?,Did Robert Legato win an award for directing Eloise?
"""Weird Al"" Yankovic",Jonathan Winters,"The ""Weird Al"" Yankovic Video Library",director,"When did Jonathan Winters direct the movie The ""Weird Al"" Yankovic Video Library?","Did Jonathan Winters win an award for directing The ""Weird Al"" Yankovic Video Library?","When did ""Weird Al"" Yankovic direct the movie The ""Weird Al"" Yankovic Video Library?","Did ""Weird Al"" Yankovic win an award for directing The ""Weird Al"" Yankovic Video Library?"
Kurt Cobain,Patti Smith,Kurt's Bloody Suicide,director,When did Patti Smith direct the movie Kurt's Bloody Suicide?,Did Patti Smith win an award for directing Kurt's Bloody Suicide?,When did Kurt Cobain direct the movie Kurt's Bloody Suicide?,Did Kurt Cobain win an award for directing Kurt's Bloody Suicide?
Jonathan Glassner,Tom Hanks,The Torment of Tantalus,director,When did Tom Hanks direct the movie The Torment of Tantalus?,Did Tom Hanks win an award for directing The Torment of Tantalus?,When did Jonathan Glassner direct the movie The Torment of Tantalus?,Did Jonathan Glassner win an award for directing The Torment of Tantalus?
David Lynch,Walt Disney,Twin Peaks. Pilot Episode,director,When did Walt Disney direct the movie Twin Peaks. Pilot Episode?,Did Walt Disney win an award for directing Twin Peaks. Pilot Episode?,When did David Lynch direct the movie Twin Peaks. Pilot Episode?,Did David Lynch win an award for directing Twin Peaks. Pilot Episode?
Coluche,Adam Carolla,You Won't Have Alsace-Lorraine,director,When did Adam Carolla direct the movie You Won't Have Alsace-Lorraine?,Did Adam Carolla win an award for directing You Won't Have Alsace-Lorraine?,When did Coluche direct the movie You Won't Have Alsace-Lorraine?,Did Coluche win an award for directing You Won't Have Alsace-Lorraine?
Tom Hanks,Robert De Niro,The 2000s,director,When did Robert De Niro direct the movie The 2000s?,Did Robert De Niro win an award for directing The 2000s?,When did Tom Hanks direct the movie The 2000s?,Did Tom Hanks win an award for directing The 2000s?
Matthew Vaughn,Christopher Nolan,The King's Man: The Traitor King,director,When did Christopher Nolan direct the movie The King's Man: The Traitor King?,Did Christopher Nolan win an award for directing The King's Man: The Traitor King?,When did Matthew Vaughn direct the movie The King's Man: The Traitor King?,Did Matthew Vaughn win an award for directing The King's Man: The Traitor King?
Paul McCartney,Elton John,"Hello, Goodbye",director,"When did Elton John direct the movie Hello, Goodbye?","Did Elton John win an award for directing Hello, Goodbye?","When did Paul McCartney direct the movie Hello, Goodbye?","Did Paul McCartney win an award for directing Hello, Goodbye?"
Ringo Starr,Paul McCartney,Born to Boogie,director,When did Paul McCartney direct the movie Born to Boogie?,Did Paul McCartney win an award for directing Born to Boogie?,When did Ringo Starr direct the movie Born to Boogie?,Did Ringo Starr win an award for directing Born to Boogie?
George Harrison,John Lennon,Magical Mystery Tour,director,When did John Lennon direct the movie Magical Mystery Tour?,Did John Lennon win an award for directing Magical Mystery Tour?,When did George Harrison direct the movie Magical Mystery Tour?,Did George Harrison win an award for directing Magical Mystery Tour?
Arnold Schwarzenegger,Walt Disney,Christmas in Connecticut,director,When did Walt Disney direct the movie Christmas in Connecticut?,Did Walt Disney win an award for directing Christmas in Connecticut?,When did Arnold Schwarzenegger direct the movie Christmas in Connecticut?,Did Arnold Schwarzenegger win an award for directing Christmas in Connecticut?
Louis de Funs,Tom Hanks,L'avare,director,When did Tom Hanks direct the movie L'avare?,Did Tom Hanks win an award for directing L'avare?,When did Louis de Funs direct the movie L'avare?,Did Louis de Funs win an award for directing L'avare?
Michael Jackson,Bob Dylan,In the Closet,director,When did Bob Dylan direct the movie In the Closet?,Did Bob Dylan win an award for directing In the Closet?,When did Michael Jackson direct the movie In the Closet?,Did Michael Jackson win an award for directing In the Closet?
Jim Clark,Jody Scheckter,Every Home Should Have One,director,When did Jody Scheckter direct the movie Every Home Should Have One?,Did Jody Scheckter win an award for directing Every Home Should Have One?,When did Jim Clark direct the movie Every Home Should Have One?,Did Jim Clark win an award for directing Every Home Should Have One?
Geoffrey Arend,Jennifer Aniston,Mitya,director,When did Jennifer Aniston direct the movie Mitya?,Did Jennifer Aniston win an award for directing Mitya?,When did Geoffrey Arend direct the movie Mitya?,Did Geoffrey Arend win an award for directing Mitya?
Justin Chadwick,Tom Hanks,Shardlake,director,When did Tom Hanks direct the movie Shardlake?,Did Tom Hanks win an award for directing Shardlake?,When did Justin Chadwick direct the movie Shardlake?,Did Justin Chadwick win an award for directing Shardlake?
Quentin Tarantino,Woody Allen,Reservoir Dogs: Sundance Institute 1991 June Film Lab,director,When did Woody Allen direct the movie Reservoir Dogs: Sundance Institute 1991 June Film Lab?,Did Woody Allen win an award for directing Reservoir Dogs: Sundance Institute 1991 June Film Lab?,When did Quentin Tarantino direct the movie Reservoir Dogs: Sundance Institute 1991 June Film Lab?,Did Quentin Tarantino win an award for directing Reservoir Dogs: Sundance Institute 1991 June Film Lab?
Chris Rock,Tom Hanks,Amy Schumer: Live at the Apollo,director,When did Tom Hanks direct the movie Amy Schumer: Live at the Apollo?,Did Tom Hanks win an award for directing Amy Schumer: Live at the Apollo?,When did Chris Rock direct the movie Amy Schumer: Live at the Apollo?,Did Chris Rock win an award for directing Amy Schumer: Live at the Apollo?
Adam Carolla,Ricky Gervais,The 24 Hour War,director,When did Ricky Gervais direct the movie The 24 Hour War?,Did Ricky Gervais win an award for directing The 24 Hour War?,When did Adam Carolla direct the movie The 24 Hour War?,Did Adam Carolla win an award for directing The 24 Hour War?
Julian McMahon,Sasha Grey,Magenta,director,When did Sasha Grey direct the movie Magenta?,Did Sasha Grey win an award for directing Magenta?,When did Julian McMahon direct the movie Magenta?,Did Julian McMahon win an award for directing Magenta?
Miley Cyrus,Jennette McCurdy,Super Rhino,director,When did Jennette McCurdy direct the movie Super Rhino?,Did Jennette McCurdy win an award for directing Super Rhino?,When did Miley Cyrus direct the movie Super Rhino?,Did Miley Cyrus win an award for directing Super Rhino?
Tom DeLonge,David Bowie,Poet Anderson: The Dream Walker,director,When did David Bowie direct the movie Poet Anderson: The Dream Walker?,Did David Bowie win an award for directing Poet Anderson: The Dream Walker?,When did Tom DeLonge direct the movie Poet Anderson: The Dream Walker?,Did Tom DeLonge win an award for directing Poet Anderson: The Dream Walker?
Jon Abrahams,Peter DeLuise,Clover,director,When did Peter DeLuise direct the movie Clover?,Did Peter DeLuise win an award for directing Clover?,When did Jon Abrahams direct the movie Clover?,Did Jon Abrahams win an award for directing Clover?
Mr. Lawrence,David Lynch,Skid Marks,director,When did David Lynch direct the movie Skid Marks?,Did David Lynch win an award for directing Skid Marks?,When did Mr. Lawrence direct the movie Skid Marks?,Did Mr. Lawrence win an award for directing Skid Marks?
Eric Bana,Ricky Gervais,Love the Beast,director,When did Ricky Gervais direct the movie Love the Beast?,Did Ricky Gervais win an award for directing Love the Beast?,When did Eric Bana direct the movie Love the Beast?,Did Eric Bana win an award for directing Love the Beast?
Miranta Sidera,Gautama Buddha,England,educated at,When did Gautama Buddha complete their education in England?,Did Gautama Buddha graduate summa cum laude from England?,When did Miranta Sidera complete their education in England?,Did Miranta Sidera graduate summa cum laude from England?
Peyton List,Mila Kunis,Spain,educated at,When did Mila Kunis complete their education in Spain?,Did Mila Kunis graduate summa cum laude from Spain?,When did Peyton List complete their education in Spain?,Did Peyton List graduate summa cum laude from Spain?
Miranta Sidera,Noam Chomsky,United States of America,educated at,When did Noam Chomsky complete their education in United States of America?,Did Noam Chomsky graduate summa cum laude from United States of America?,When did Miranta Sidera complete their education in United States of America?,Did Miranta Sidera graduate summa cum laude from United States of America?
Sven Bingert,Susan Blackmore,Sweden,educated at,When did Susan Blackmore complete their education in Sweden?,Did Susan Blackmore graduate summa cum laude from Sweden?,When did Sven Bingert complete their education in Sweden?,Did Sven Bingert graduate summa cum laude from Sweden?
imun Aretofil,Cornelis Musius,Italy,educated at,When did Cornelis Musius complete their education in Italy?,Did Cornelis Musius graduate summa cum laude from Italy?,When did imun Aretofil complete their education in Italy?,Did imun Aretofil graduate summa cum laude from Italy?
Miranta Sidera,Noam Chomsky,Greece,educated at,When did Noam Chomsky complete their education in Greece?,Did Noam Chomsky graduate summa cum laude from Greece?,When did Miranta Sidera complete their education in Greece?,Did Miranta Sidera graduate summa cum laude from Greece?
Mahrou Ahmadi,Ehsan Hadadi,Turkey,educated at,When did Ehsan Hadadi complete their education in Turkey?,Did Ehsan Hadadi graduate summa cum laude from Turkey?,When did Mahrou Ahmadi complete their education in Turkey?,Did Mahrou Ahmadi graduate summa cum laude from Turkey?
Lauren Terrell,EGANET,New York City,educated at,When did EGANET complete their education in New York City?,Did EGANET graduate summa cum laude from New York City?,When did Lauren Terrell complete their education in New York City?,Did Lauren Terrell graduate summa cum laude from New York City?
Diego Rivera,Pablo Picasso,Los Angeles,educated at,When did Pablo Picasso complete their education in Los Angeles?,Did Pablo Picasso graduate summa cum laude from Los Angeles?,When did Diego Rivera complete their education in Los Angeles?,Did Diego Rivera graduate summa cum laude from Los Angeles?
Adle Coulin Weibel,Eduard Paulus,Bern,educated at,When did Eduard Paulus complete their education in Bern?,Did Eduard Paulus graduate summa cum laude from Bern?,When did Adle Coulin Weibel complete their education in Bern?,Did Adle Coulin Weibel graduate summa cum laude from Bern?
Yitzchak Glick,Carl Clauberg,Geneva,educated at,When did Carl Clauberg complete their education in Geneva?,Did Carl Clauberg graduate summa cum laude from Geneva?,When did Yitzchak Glick complete their education in Geneva?,Did Yitzchak Glick graduate summa cum laude from Geneva?
Adduri SeetharamReddy,Lakshmi Kantamma,London,educated at,When did Lakshmi Kantamma complete their education in London?,Did Lakshmi Kantamma graduate summa cum laude from London?,When did Adduri SeetharamReddy complete their education in London?,Did Adduri SeetharamReddy graduate summa cum laude from London?
Q118950484,Blaise Pascal,Paris,educated at,When did Blaise Pascal complete their education in Paris?,Did Blaise Pascal graduate summa cum laude from Paris?,When did Q118950484 complete their education in Paris?,Did Q118950484 graduate summa cum laude from Paris?
Jeremia J Pyuza,Jimmy Wales,Google,educated at,When did Jimmy Wales complete their education in Google?,Did Jimmy Wales graduate summa cum laude from Google?,When did Jeremia J Pyuza complete their education in Google?,Did Jeremia J Pyuza graduate summa cum laude from Google?
Alexander Acha,Serge Gainsbourg,Boston,educated at,When did Serge Gainsbourg complete their education in Boston?,Did Serge Gainsbourg graduate summa cum laude from Boston?,When did Alexander Acha complete their education in Boston?,Did Alexander Acha graduate summa cum laude from Boston?
Hazel de Silva Mugot,Antoine de Saint-Exupery,Kenya,educated at,When did Antoine de Saint-Exupery complete their education in Kenya?,Did Antoine de Saint-Exupery graduate summa cum laude from Kenya?,When did Hazel de Silva Mugot complete their education in Kenya?,Did Hazel de Silva Mugot graduate summa cum laude from Kenya?
shiekh ilyas umar imam,Muhammad Saeed Al-Hakim,Ghana,educated at,When did Muhammad Saeed Al-Hakim complete their education in Ghana?,Did Muhammad Saeed Al-Hakim graduate summa cum laude from Ghana?,When did shiekh ilyas umar imam complete their education in Ghana?,Did shiekh ilyas umar imam graduate summa cum laude from Ghana?
Erny Thiel,Kyle Katarn,France,educated at,When did Kyle Katarn complete their education in France?,Did Kyle Katarn graduate summa cum laude from France?,When did Erny Thiel complete their education in France?,Did Erny Thiel graduate summa cum laude from France?
Erny Thiel,J. R. R. Tolkien,United Kingdom,educated at,When did J. R. R. Tolkien complete their education in United Kingdom?,Did J. R. R. Tolkien graduate summa cum laude from United Kingdom?,When did Erny Thiel complete their education in United Kingdom?,Did Erny Thiel graduate summa cum laude from United Kingdom?
Boris Kamgo Youdom,Jimmy Wales,People's Republic of China,educated at,When did Jimmy Wales complete their education in People's Republic of China?,Did Jimmy Wales graduate summa cum laude from People's Republic of China?,When did Boris Kamgo Youdom complete their education in People's Republic of China?,Did Boris Kamgo Youdom graduate summa cum laude from People's Republic of China?
Willy Ngoma,Alvaro Escobar-Molina,Toronto,educated at,When did Alvaro Escobar-Molina complete their education in Toronto?,Did Alvaro Escobar-Molina graduate summa cum laude from Toronto?,When did Willy Ngoma complete their education in Toronto?,Did Willy Ngoma graduate summa cum laude from Toronto?
Felisa Martn Bravo,Francis Beaufort,Alabama,educated at,When did Francis Beaufort complete their education in Alabama?,Did Francis Beaufort graduate summa cum laude from Alabama?,When did Felisa Martn Bravo complete their education in Alabama?,Did Felisa Martn Bravo graduate summa cum laude from Alabama?
Sven Bingert,Jimmy Wales,Germany,educated at,When did Jimmy Wales complete their education in Germany?,Did Jimmy Wales graduate summa cum laude from Germany?,When did Sven Bingert complete their education in Germany?,Did Sven Bingert graduate summa cum laude from Germany?
Sonia Delaunay,Katsushika Hokusai,Ukraine,educated at,When did Katsushika Hokusai complete their education in Ukraine?,Did Katsushika Hokusai graduate summa cum laude from Ukraine?,When did Sonia Delaunay complete their education in Ukraine?,Did Sonia Delaunay graduate summa cum laude from Ukraine?
Q104053997,Pierre-Joseph Proudhon,Bulgaria,educated at,When did Pierre-Joseph Proudhon complete their education in Bulgaria?,Did Pierre-Joseph Proudhon graduate summa cum laude from Bulgaria?,When did Q104053997 complete their education in Bulgaria?,Did Q104053997 graduate summa cum laude from Bulgaria?
Ali Al-abani,George W. Bush,Rome,educated at,When did George W. Bush complete their education in Rome?,Did George W. Bush graduate summa cum laude from Rome?,When did Ali Al-abani complete their education in Rome?,Did Ali Al-abani graduate summa cum laude from Rome?
Francesc d'A. Planas Doria,Odd Berretzen,City of Brussels,educated at,When did Odd Berretzen complete their education in City of Brussels?,Did Odd Berretzen graduate summa cum laude from City of Brussels?,When did Francesc d'A. Planas Doria complete their education in City of Brussels?,Did Francesc d'A. Planas Doria graduate summa cum laude from City of Brussels?
David Caplan,Stephen Harper,Algeria,educated at,When did Stephen Harper complete their education in Algeria?,Did Stephen Harper graduate summa cum laude from Algeria?,When did David Caplan complete their education in Algeria?,Did David Caplan graduate summa cum laude from Algeria?
